code,system
H3z..11,readv2
H36..00,readv2
H37..00,readv2
14B3.12,readv2
103494.0,readv2
H321.00,readv2
H322.00,readv2
H32y100,readv2
H32z.00,readv2
H32y200,readv2
H32..00,readv2
J43,readv2
H31yz00,readv2
H31y.00,readv2
H312100,readv2
H310000,readv2
H312011,readv2
H583200,readv2
H311100,readv2
H310.00,readv2
H31z.00,readv2
H31..00,readv2
H312000,readv2
H310z00,readv2
H312300,readv2
H311.00,readv2
H311000,readv2
H312z00,readv2
H312.00,readv2
H311z00,readv2
H313.00,readv2
J40,readv2
J42,readv2
J41,readv2
H32yz00,readv2
Hyu3000,readv2
H32y.00,readv2
J44,readv2
H320100,readv2
H320200,readv2
H320000,readv2
H320300,readv2
H320z00,readv2
H320.00,readv2
H32y000,readv2
H32y111,readv2
H3y0.00,readv2
H3...11,readv2
H3z..00,readv2
H3A..00,readv2
H38..00,readv2
H39..00,readv2
Hyu3100,readv2
H3y..11,readv2
H3y..00,readv2
H312200,readv2
H3y1.00,readv2
H31y100,readv2
H464000,readv2
H464100,readv2
10980.0,readv2
1446.0,readv2
106650.0,readv2
21061.0,readv2
99536.0,readv2
10863.0,readv2
40788.0,readv2
63479.0,readv2
12166.0,readv2
794.0,readv2
40159.0,readv2
9876.0,readv2
46578.0,readv2
15157.0,readv2
63216.0,readv2
1001.0,readv2
66058.0,readv2
26306.0,readv2
24248.0,readv2
44525.0,readv2
64721.0,readv2
93568.0,readv2
68662.0,readv2
5710.0,readv2
33450.0,readv2
70787.0,readv2
37247.0,readv2
59263.0,readv2
27819.0,readv2
14798.0,readv2
15626.0,readv2
25603.0,readv2
7884.0,readv2
5798.0,readv2
67040.0,readv2
3243.0,readv2
11150.0,readv2
65733.0,readv2
61513.0,readv2
23492.0,readv2
26125.0,readv2
92955.0,readv2
68066.0,readv2
45089.0,readv2
16410.0,readv2
10802.0,readv2
5909.0,readv2
56860.0,readv2
66043.0,readv2
60188.0,readv2
104608.0,readv2
998.0,readv2
61118.0,readv2
37959.0,readv2
